"Tunisia","1.73","2.23","2.36","2.59"
"Turkey","2.94","3.36","3.89","4.49"
"Turkmenistan","8.08","9.9","10.1","12.5"
"Tuvalu","0.795","1.11","1.05","1.01"
"Uganda","0.0457","0.063","0.103","0.135"
"Ukraine","8.76","7.27","5.66","5.06"
"United Arab Emirates","28.8","27.7","21.9","23.3"
"United Kingdom","9.28","9","7.52","6.46"
"United States","19.3","19.7","17.2","16.5"
"Uruguay","1.42","1.69","2.4","1.97"
"Uzbekistan","4.52","4.82","3.81","3.45"
"Vanuatu","0.392","0.287","0.524","0.595"
"Venezuela","6.01","5.76","6.29","6.03"
"Vietnam","0.387","1.08","1.47","1.8"
"Yemen","0.683","0.943","1.07","0.865"
"Zambia","0.238","0.183","0.186","0.288"
"Zimbabwe","1.34","0.742","0.406","0.78"
